IDPRODUCTO,Empresa,Almacenamiento,Accesorios
76,Microsoft,500GB,"Dos controles, fuente de poder."
77,Microsoft,500GB,"Dos controles, fuente de poder."
78,Microsoft,500GB,"Dos controles, fuente de poder."
79,Microsoft,500GB,"Dos controles, fuente de poder."
80,Microsoft,500GB,"Dos controles, fuente de poder."
81,Sony,1TB,Un control
82,Sony,1TB,Un control
83,Sony,1TB,Un control
84,Sony,1TB,Un control
85,Sony,1TB,Un control
86,Nintendo,500GB,"Dos controles, un juego."
87,Nintendo,500GB,"Dos controles, un juego."
88,Nintendo,500GB,"Dos controles, un juego."
89,Nintendo,500GB,"Dos controles, un juego."
90,Nintendo,500GB,"Dos controles, un juego."
