IDPRODUCTO,Rating,Clasificacion,Genero,Desarrollador,Jugadores
1201,4,M,FPS,Activition,1
1202,4,M,FPS,Activition,1
1203,4,M,FPS,Activition,1
1204,4,M,FPS,Activition,1
1205,4,M,FPS,Activition,1
1206,4,M,FPS,Activition,1
1207,4,M,FPS,Activition,1
1208,4,M,FPS,Activition,1
1209,4,M,FPS,Activition,1
1210,4,M,FPS,Activition,1
1211,4,M,FPS,Activition,1
1212,4,M,FPS,Activition,1
1213,4,M,FPS,Activition,1
1214,4,M,FPS,Activition,1
1215,4,M,FPS,Activition,1
1216,4,M,FPS,Activition,1
1217,4,M,FPS,Activition,1
1218,4,M,FPS,Activition,1
1219,4,M,FPS,Activition,1
1220,4,M,FPS,capcom,1
1221,5,M,FPS,capcom,1
1222,5,M,FPS,capcom,1
1223,5,M,FPS,capcom,1
1224,5,M,FPS,capcom,1
1225,5,M,FPS,capcom,1
1226,5,M,FPS,capcom,1
1227,5,M,FPS,capcom,1
1228,5,M,FPS,capcom,1
1229,5,M,FPS,capcom,1
1230,5,M,FPS,capcom,1
1231,5,M,FPS,capcom,1
1232,5,M,FPS,capcom,1
1233,5,M,FPS,capcom,1
1234,5,M,FPS,capcom,1
1235,5,M,FPS,capcom,1
1236,5,M,FPS,capcom,1
1237,5,M,FPS,capcom,1
1238,5,M,FPS,capcom,1
1239,5,M,FPS,capcom,1
1240,5,M,FPS,ubisoft,1
1241,4,M,FPS,ubisoft,1
1242,4,M,FPS,ubisoft,1
1243,4,M,FPS,ubisoft,1
1244,4,M,FPS,ubisoft,1
1245,4,M,FPS,ubisoft,1
1246,4,M,FPS,ubisoft,1
1247,4,M,FPS,ubisoft,1
1248,4,M,FPS,ubisoft,1
1249,4,M,FPS,ubisoft,1
1250,4,M,FPS,ubisoft,1
1251,4,M,FPS,ubisoft,1
1252,4,M,FPS,ubisoft,1
1253,4,M,FPS,ubisoft,1
1254,4,M,FPS,ubisoft,1
1255,4,M,FPS,ubisoft,1
1256,4,M,FPS,ubisoft,1
1257,4,M,FPS,ubisoft,1
1258,4,M,FPS,ubisoft,1
1259,4,M,FPS,ubisoft,1
1260,4,M,FPS,konami,1
1261,5,M,FPS,konami,1
1262,5,M,FPS,konami,1
1263,5,M,FPS,konami,1
1264,5,M,FPS,konami,1
1265,5,M,FPS,konami,1
1266,5,M,FPS,konami,1
1267,5,M,FPS,konami,1
1268,5,M,FPS,konami,1
1269,5,M,FPS,konami,1
1270,5,M,FPS,konami,1
1271,5,M,FPS,konami,1
1272,5,M,FPS,konami,1
1273,5,M,FPS,konami,1
1274,5,M,FPS,konami,1
1275,5,M,FPS,konami,1
1276,5,M,FPS,konami,1
1277,5,M,FPS,konami,1
1278,5,M,FPS,konami,1
1279,5,M,FPS,konami,1
1280,5,M,FPS,ubisoft,1
1281,3,M,FPS,ubisoft,1
1282,3,M,FPS,ubisoft,1
1283,3,M,FPS,ubisoft,1
1284,3,M,FPS,ubisoft,1
1285,3,M,FPS,ubisoft,1
1286,3,M,FPS,ubisoft,1
1287,3,M,FPS,ubisoft,1
1288,3,M,FPS,ubisoft,1
1289,3,M,FPS,ubisoft,1
1290,3,M,FPS,ubisoft,1
1291,3,M,FPS,ubisoft,1
1292,3,M,FPS,ubisoft,1
1293,3,M,FPS,ubisoft,1
1294,3,M,FPS,ubisoft,1
1295,3,M,FPS,ubisoft,1
1296,3,M,FPS,ubisoft,1
1297,3,M,FPS,ubisoft,1
1298,3,M,FPS,ubisoft,1
1299,3,M,FPS,ubisoft,1
1300,3,M,FPS,ubisoft,1
1301,4,M,FPS,Activition,1 a 16
